id,name,province,district,subdistrict,aoi,longitude,latitude,elevation
A00132222,HomePro Rama 2,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,โฮมโปร พระราม 2,100.44237,13.663398,3
A00132273,HomePro Sukhapiban 3,กรุงเทพมหานคร,เขตบางกะปิ,แขวงหัวหมาก,โฮมโปร รามคำแหง,100.66045,13.769497,7
A00132649,Home Pro (Hua Hin),จ.ประจวบคีรีขันธ์,อ.หัวหิน,ต.หัวหิน,,99.96075,12.558405,7
A00253970,Home Pro Lopburi,จ.ลพบุรี,อ.เมืองลพบุรี,ต.ท่าศาลา,,100.683266,14.784131,27
A00291640,Home Pro,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,,100.64843,13.687688,22
A00303318,Home Pro,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,,100.64845,13.68805,19
A10000670,Home Pro (Lad Phrao),กรุงเทพมหานคร,เขตจตุจักร,แขวงจอมพล,ห้างบิ๊กซี เอ็กซ์ตร้า ลาดพร้าว,100.56828,13.809622,8
A10000784,Home Pro Changwattana Branch,จ.นนทบุรี,อ.ปากเกร็ด,ต.บางตลาด,ห้างบิ๊กซี เอ็กซ์ตร้า แจ้งวัฒนะ,100.51593,13.905302,2
A10001122,HOMEPRO VILLAGE SUVARNABHUMI,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,เทสโก้ โลตัส กิ่งแก้ว,100.71122,13.633058,6
A10006145,Home Pro,จ.ชลบุรี,อ.เมืองชลบุรี,ต.ห้วยกะปิ,บิ๊กซี ชลบุรี,100.95906,13.316073,7
A10011104,Homepro Rachapreuk,จ.นนทบุรี,อ.บางกรวย,ต.บางขุนกอง,โฮมโปรราชพฤกษ์,100.44765,13.819934,6
A10012638,HomePro,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,รถไฟฟ้ามหานครสายสีฟ้าอ่อน,100.71007,13.634327,7
A10014606,Home Pro Ratchadapisek,กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,ห้างบิ๊กซี เอ็กซ์ตร้า รัชดาภิเษก,100.57183,13.76899,3
